dataset,model,n_classes,val_size,test_size,base_logloss,base_brier,base_accuracy,base_ece-15,ts_logloss,ts_brier,ts_accuracy,ts_ece-15,ts_time,svs_logloss,svs_brier,svs_accuracy,svs_ece-15,svs_time,torch_vs_logloss,torch_vs_brier,torch_vs_accuracy,torch_vs_ece-15,torch_vs_time,sms_logloss,sms_brier,sms_accuracy,sms_ece-15,sms_time,torch_ms_logloss,torch_ms_brier,torch_ms_accuracy,torch_ms_ece-15,torch_ms_time,dir_ms_logloss,dir_ms_brier,dir_ms_accuracy,dir_ms_ece-15,dir_ms_time
c10,densenet40,10,5000,10000,0.4300588369369507,0.1273791491985321,0.9241999983787537,0.05500684306025505,0.2244231253862381,0.10997229069471359,0.9241999983787537,0.009308861568570137,0.0031199160002870485,0.22239428010583107,0.10967121706838552,0.9241999983787537,0.0112442746758461,0.05145116700077779,0.2244030237197876,0.11007463186979294,0.9236999750137329,0.011337348259985447,0.04653354200127069,0.22080359861467455,0.10981215038569457,0.9258000254631042,0.00980374775826931,0.6266821250028443,0.22723188996315002,0.11220113188028336,0.9248999953269958,0.013507310301065445,0.30591729099978693,0.2240631075981592,0.11117969341466628,0.9243000149726868,0.012097761034965515,4.52653433299929
c100,densenet40,100,5000,10000,2.0182433128356934,0.4906615614891052,0.699999988079071,0.21156086027622223,1.0570224523544312,0.4008885622024536,0.699999988079071,0.009212941862642765,0.017921124999702442,1.0512405364311197,0.3998360319900906,0.7009999752044678,0.009137592278420925,0.7009129580001172,1.0607365369796753,0.4016132950782776,0.7006000280380249,0.01314848568290472,0.08308445800139452,1.0482515857099102,0.3988627672595541,0.7023000121116638,0.009714488871395588,7.174274749999313,30.99983787536621,0.982582151889801,0.5019000172615051,0.4878304898738861,1.3265166670025792,3.0932054352700398,0.6611540769785766,0.60589998960495,0.2835894525051117,105.56344816699857
c10,lenet5,10,5000,10000,0.8232607245445251,0.3787994086742401,0.727400004863739,0.05180139094591141,0.8002747297286987,0.3747592568397522,0.727400004863739,0.01670970767736435,0.006166832998133032,0.749968290876236,0.3535902042584004,0.7459999918937683,0.017413651570677757,0.06217070799903013,0.7471612691879272,0.35226136445999146,0.7459999918937683,0.01544314343482256,0.017914207997819176,0.7428610527436528,0.35030324264333557,0.7466999888420105,0.01371796801686287,0.10076870799821336,0.7458453178405762,0.351807177066803,0.746399998664856,0.011515019461512566,0.23653074999674573,0.7469266053255539,0.3519259829604609,0.7468000054359436,0.011570053175091743,3.372752457999013
c100,lenet5,100,5000,10000,2.7836480140686035,0.8128013610839844,0.3359000086784363,0.12124696373939514,2.649679660797119,0.7924650311470032,0.3359000086784363,0.015175042673945427,0.01698533399758162,2.565102702575766,0.7821116624078429,0.35089999437332153,0.019543837755918503,0.6186995419993764,2.517895460128784,0.7668657898902893,0.36399999260902405,0.012893570587038994,0.0736125000003085,2.5103349110698647,0.7661667098566364,0.3675000071525574,0.020389411598443985,6.316025750002154,10.987275123596191,1.1502727270126343,0.2502000033855438,0.46046364307403564,36.93868729099995,2.94932268692907,0.8373427709511434,0.3257000148296356,0.15056820213794708,32.56910124999922
c10,resnet110,10,5000,10000,0.3582741320133209,0.11018864810466766,0.9355999827384949,0.047509852796792984,0.20930734276771545,0.09784962236881256,0.9355999827384949,0.01115399319678545,0.003522667000652291,0.20682141824655137,0.09749150075301828,0.9355000257492065,0.010711339302361012,0.4845835830019496,0.2078464776277542,0.0980006605386734,0.9352999925613403,0.012113702483475208,0.012515457998233614,0.20326704560714742,0.09744652137331204,0.9352999925613403,0.011825373396277428,0.44856241600064095,0.21210868656635284,0.10142796486616135,0.9322999715805054,0.015774285420775414,0.22734979200322414,0.20934740493755188,0.10064777040082394,0.9325000047683716,0.01403891108930111,2.012814833997254
c100,resnet110,100,5000,10000,1.6937121152877808,0.4533301889896393,0.7148000001907349,0.18480461835861206,1.0916787385940552,0.39185523986816406,0.7148000001907349,0.023875802755355835,0.13515854199795285,1.0855668059824026,0.3914494247714203,0.7159000039100647,0.023335330188274384,1.1410925419986597,1.095663070678711,0.3911066949367523,0.7153000235557556,0.02746187523007393,0.07970375000149943,1.0858340238012318,0.39178486363201925,0.7157999873161316,0.024987557902932167,7.314745958999993,37.05490493774414,0.8593243956565857,0.5701000094413757,0.4295131266117096,2.383547124998586,2.094016958203863,0.5529183480178341,0.6402999758720398,0.20769943296909332,62.57266529199842
c10,resnet110_SD,10,5000,10000,0.30493858456611633,0.09813889116048813,0.9404000043869019,0.04112934693694115,0.17687289416790009,0.0873703882098198,0.9404000043869019,0.005582612007856369,0.003356499997607898,0.1751269519815376,0.08667120102005342,0.9416000247001648,0.007025175727903843,0.05261633299960522,0.1768805980682373,0.08686220645904541,0.9419000148773193,0.008901326917111874,0.017752833999111317,0.1745138096479951,0.0865722654920673,0.9419999718666077,0.007728402968496084,0.041794084001594456,0.18846634030342102,0.08996127545833588,0.939300000667572,0.009489193558692932,0.30168362500262447,0.1838976660107553,0.0889800317519362,0.9394000172615051,0.008960196748375893,1.9484671659993182
c100,resnet110_SD,100,5000,10000,1.352502703666687,0.4184035658836365,0.7282999753952026,0.1586080640554428,0.9422075152397156,0.3668627142906189,0.7282999753952026,0.012336816638708115,0.10758187499959604,0.9296303106089836,0.3640455643489039,0.7300000190734863,0.012395843863487244,0.7379541669979517,0.9316074252128601,0.3593696057796478,0.7348999977111816,0.01816004328429699,0.08042049999858136,0.915871498622632,0.3582408079013388,0.7372999787330627,0.0119872335344553,6.542281625002943,38.93873596191406,0.9407691359519958,0.5281999707221985,0.46980661153793335,1.30476333399929,2.553973538584742,0.6017134752189239,0.6320000290870667,0.2575016915798187,161.4289039159994
c10,resnet_wide32,10,5000,10000,0.3820893168449402,0.10466188937425613,0.939300000667572,0.045057691633701324,0.1914256364107132,0.09237237274646759,0.939300000667572,0.007865972816944122,0.003502040999592282,0.18345385111610285,0.08902887822484022,0.941100001335144,0.006667579058557749,0.05602108300081454,0.18331576883792877,0.08886618912220001,0.9417999982833862,0.0074918633326888084,0.016826457998831756,0.181356362105536,0.08894992462155302,0.9419999718666077,0.007321902550756931,0.05570029199952842,0.19317466020584106,0.09379930049180984,0.9391000270843506,0.010737012140452862,0.2974952910008142,0.18996251776246628,0.09283173595634249,0.9391000270843506,0.01062498614192009,2.4936793339984433
c100,resnet_wide32,100,5000,10000,1.80224609375,0.4320349097251892,0.7382000088691711,0.18783681094646454,0.9446132779121399,0.35476866364479065,0.7382000088691711,0.014677588827908039,0.013693000000785105,0.9384314964972175,0.3537373089949104,0.7390999794006348,0.015955736860632896,0.6951974999974482,0.9510853290557861,0.3517879247665405,0.7405999898910522,0.018294913694262505,0.11522949999925913,0.9336168362700497,0.35163537893771124,0.7401000261306763,0.016379497945308685,6.672745791001944,27.318044662475586,0.8346111178398132,0.5764999985694885,0.4154374897480011,1.0796590000027209,2.3420928700776367,0.5401964577478592,0.6675999760627747,0.22463800013065338,206.50935229199968
